FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981967,1981967,ESCOLA MUNICIPAL PROFESSOR DANIEL ALVARENGA,Municipal,31294632,RUA,COQUILHO,155,,Jaqueline,NORTE,POINT (612181.21540869 7809914.71549257)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982038,1982038,ESCOLA MUNICIPAL VINICIUS DE MORAES,Municipal,31217841,RUA,SEBASTIAO MOREIRA,409,,Tirol,BARREIRO,POINT (600523.009859408 7789336.59410952)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981964,1981964,ESCOLA MUNICIPAL JOSE DE CALASANZ,Municipal,31305499,RUA,SEBASTIAO SANTANA FILHO,111,,Ipê,NORDESTE,POINT (614638.122437585 7802277.42004192)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981871,1981871,ESCOLA MUNICIPAL DORA TOMICH LAENDER,Municipal,31003590,RUA,JULITA NUNES LIMA,53,,Conjunto Minascaixa,VENDA NOVA,POINT (608992.629877882 7809630.6833065)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982044,1982044,ESCOLA MUNICIPAL FRANCISCA DE PAULA,Municipal,31002704,RUA,JULIO DE CASTILHO,330,,Cinquentenário,OESTE,POINT (606395.14769543 7792873.58416545)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981742,1981742,ESCOLA MUNICIPAL SENADOR LEVINDO COELHO,Municipal,31003417,RUA,CARACA,850,,Mangabeiras,CENTRO-SUL,POINT (613552.961082391 7794370.27951745)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982043,1982043,ESCOLA MUNICIPAL PADRE HENRIQUE BRANDAO,Municipal,31002895,RUA,CRISPIM JAQUES,987,,Vista Alegre,OESTE,POINT (604589.45621981 7793047.19882669)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982176,1982176,ESCOLA MUNICIPAL VICENTE GUIMARAES,Municipal,31003816,RUA,IZAURA PEREIRA ALMEIDA,110,,Letícia,VENDA NOVA,POINT (606872.697521986 7809292.70210159)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982237,1982237,ESCOLA MUNICIPAL HONORINA RABELLO,Municipal,31002844,RUA,MARIA CONCEICAO BONFIM,315,,Goiânia,NORDESTE,POINT (615622.008333136 7803935.77248909)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981743,1981743,ESCOLA MUNICIPAL PROFESSOR MELLO CANCADO,Municipal,31003379,RUA,DAS PETUNIAS,2058,,Lindéia,BARREIRO,POINT (599061.384482881 7790334.40100882)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981759,1981759,ESCOLA MUNICIPAL FRANCISCO CAMPOS,Municipal,31003638,RUA,HERALDO BELISARIO,190,,Tupi A,NORTE,POINT (612838.739032851 7806473.49594283)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981912,1981912,ESCOLA MUNICIPAL CARLOS GOIS,Municipal,31003191,RUA,MENDES DE OLIVEIRA,446,,Santo André,NOROESTE,POINT (609695.200549431 7798967.5837495)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981750,1981750,ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA,Municipal,31003409,RUA,CALENDULA,10,,Olaria,BARREIRO,POINT (601490.940046246 7789388.11362288)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981786,1981786,ESCOLA MUNICIPAL HELIO PELLEGRINO,Municipal,31247308,RUA,GUILHERME SOARES,255,,Aarão Reis,NORTE,POINT (612579.291787923 7805300.78464482)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981913,1981913,ESCOLA MUNICIPAL HONORINA DE BARROS,Municipal,31002828,PRACA,PROFESSOR CORREA NETO,200,,São Cristóvão,NOROESTE,POINT (610289.899085901 7798954.49641339)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981755,1981755,ESCOLA MUNICIPAL CONEGO SEQUEIRA,Municipal,31003255,RUA,FLOR CHUVA DE PRATA,40,,Mineirão,BARREIRO,POINT (601514.712815351 7785664.53154721)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981930,1981930,ESCOLA MUNICIPAL SAO RAFAEL,Municipal,31003395,RUA,CORONEL OTAVIO DINIZ,1,,Pompéia,LESTE,POINT (614441.838359963 7797691.20355299)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982248,1982248,ESCOLA MUNICIPAL EMIDIO BERUTTO,Municipal,31002615,RUA,CONCEICAO DO PARA,1726,,Santa Inês,LESTE,POINT (614003.481031345 7801411.66626359)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982202,1982202,ESCOLA MUNICIPAL CARMELITA CARVALHO GARCIA,Municipal,31003239,PRACA,OLGA GATTI BARBOSA,10,,Ouro Preto,PAMPULHA,POINT (606034.392007481 7800850.27053406)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981754,1981754,ESCOLA MUNICIPAL JONAS BARCELLOS CORREA,Municipal,31003000,RUA,PROFESSORA DIRCE MARIA,240,,Petrópolis,BARREIRO,POINT (601474.877141557 7786509.05964597)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981865,1981865,ESCOLA MUNICIPAL RUI DA COSTA VAL,Municipal,31233366,RUA,CECILIA TRINDADE SILVA,221,,Jardim Felicidade,NORTE,POINT (612248.237631128 7807009.74679053)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982121,1982121,ESCOLA MUNICIPAL JOAQUIM DOS SANTOS,Municipal,31003506,RUA,ANTONIO JOSE DOS SANTOS,300,,Céu Azul,VENDA NOVA,POINT (605153.884261869 7807529.94090652)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981975,1981975,ESCOLA MUNICIPAL DOUTOR JOSE XAVIER NOGUEIRA,Municipal,31330850,RUA,NAVARRA,100,,Europa,VENDA NOVA,POINT (608639.303695644 7810017.18463527)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981707,1981707,ESCOLA MUNICIPAL SERGIO MIRANDA,Municipal,31353752,RUA,MINISTRO OSVALDO ARANHA,345,,Granja Werneck,NORTE,POINT (613748.395838049 7806850.61918049)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981868,1981868,ESCOLA MUNICIPAL FRANCISCO MAGALHAES GOMES,Municipal,31217891,RUA,DOS MAMOEIROS,98,,Vila Clóris,NORTE,POINT (609987.886792717 7807950.97520621)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982247,1982247,ESCOLA MUNICIPAL PROFESSORA MARIA MODESTA CRAVO,Municipal,31003280,RUA,DOUTOR JULIO OTAVIANO FERREIRA,1085,,Cidade Nova,NORDESTE,POINT (612971.736255501 7800310.41042103)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981965,1981965,ESCOLA MUNICIPAL PROFESSOR PAULO FREIRE,Municipal,31305481,RUA,PAULO CAMPOS MENDES,311,,Capitão Eduardo,NORDESTE,POINT (615706.734383277 7807061.95616346)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981952,1981952,ESCOLA MUNICIPAL ARMANDO ZILLER,Municipal,31232009,RUA,GERALDO ILIDIO TEIXEIRA,283,,Mantiqueira,VENDA NOVA,POINT (606470.935250354 7811954.9802026)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982178,1982178,ESCOLA MUNICIPAL DEPUTADO RENATO AZEREDO,Municipal,31003760,RUA,AGUA,240,,Maria Helena,VENDA NOVA,POINT (605554.673523874 7810706.21438526)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981710,1981710,ESCOLA MUNICIPAL PRESIDENTE ITAMAR FRANCO,Municipal,31353760,AVENIDA,PERIMETRAL,2911,,Petrópolis,BARREIRO,POINT (601821.759791875 7786862.69614113)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1983542,1983542,ESCOLA MUNICIPAL CAIO LIBANO SOARES,Municipal,31223697,RUA,CARANGOLA,288,,Santo Antônio,CENTRO-SUL,POINT (610681.568973997 7794661.4818125)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1983543,1983543,ESCOLA MUNICIPAL SANTO ANTONIO,Municipal,31217808,RUA,CARANGOLA,288,,Santo Antônio,CENTRO-SUL,POINT (610681.568973997 7794659.47097916)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1982219,1982219,ESCOLA MUNICIPAL CONSUL ANTONIO CADAR,Municipal,31003531,RUA,PARNAIBA,21,,Minaslândia,NORTE,POINT (612341.407425828 7804677.41153061)
ESCOLAS_MUNICIPAIS_ENSINO_FUNDAMENTAL.1981869,1981869,ESCOLA MUNICIPAL PROFESSOR TABAJARA PEDROSO,Municipal,31206521,RUA,GERALDO ANUNCIACAO,45,,Rio Branco,VENDA NOVA,POINT (606978.153624688 7809001.86130139)
