FID,ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
ESCOLAS_ESTADUAIS.1982002,1982002,ESCOLA ESTADUAL CELMAR BOTELHO DUARTE,Estadual,31002372,RUA,BELO ORIENTE,145,,Providência,NORTE,POINT (612610.007557925 7804039.74132653)
ESCOLAS_ESTADUAIS.1981805,1981805,ESCOLA ESTADUAL PROFESSORA MARIA DO SOCORRO ANDRADE,Estadual,31001309,RUA,ALEXANDRE MATHIAS ALVES,290,,Nova Cintra,OESTE,POINT (605929.941897784 7793562.12401516)
ESCOLAS_ESTADUAIS.1982106,1982106,ESCOLA ESTADUAL URSULINA DE ANDRADE MELO,Estadual,31001601,RUA,FLOR DE VIDRO,251,,Jardim Alvorada,PAMPULHA,POINT (605597.791043698 7799348.42623012)
ESCOLAS_ESTADUAIS.1981985,1981985,ESCOLA ESTADUAL PASCHOAL COMANDUCCI,Estadual,31002241,RUA,JOAO NASCIMENTO PIRES,240,,Jaqueline,NORTE,POINT (611451.416959275 7810083.79107772)
ESCOLAS_ESTADUAIS.1981907,1981907,ESCOLA ESTADUAL DONA AUGUSTA GONCALVES NOGUEIRA,Estadual,31000761,RUA,COPERNICO PINTO COELHO,13,,Vila Barragem Santa Lúcia,CENTRO-SUL,POINT (610325.413937284 7793624.64128995)
ESCOLAS_ESTADUAIS.1981878,1981878,ESCOLA ESTADUAL PROFESSORA MARIA BELMIRA TRINDADE,Estadual,31001902,RUA,CLEMENTINA DE JESUS,99,,Flávio Marques Lisboa,BARREIRO,POINT (605727.176586546 7789356.62003331)
ESCOLAS_ESTADUAIS.1981701,1981701,ESCOLA ESTADUAL PESTALOZZI,Estadual,31001066,RUA,DOS TIMBIRAS,3080,,Barro Preto,CENTRO-SUL,POINT (609749.67259685 7796629.87958241)
ESCOLAS_ESTADUAIS.1981992,1981992,INSTITUTO DE EDUCACAO DE MINAS GERAIS,Estadual,31001996,RUA,PERNAMBUCO,47,,Funcionários,CENTRO-SUL,POINT (611749.867047724 7796138.93951184)
ESCOLAS_ESTADUAIS.1982163,1982163,ESCOLA ESTADUAL PROFESSORA HENRIQUETA LISBOA,Estadual,31342424,RUA,JOSE FLAUSINO,900,,Vitória,NORDESTE,POINT (617063.992108549 7803532.9044917)
ESCOLAS_ESTADUAIS.1982013,1982013,ESCOLA ESTADUAL AARAO REIS,Estadual,31000027,RUA,JAYME SALES,330,,Madre Gertrudes,OESTE,POINT (604025.011686062 7793760.74358672)
ESCOLAS_ESTADUAIS.1981704,1981704,ESCOLA ESTADUAL GERALDO JARDIM LINHARES,Estadual,31002054,RUA,JAYME SALES,278,,Madre Gertrudes,OESTE,POINT (603981.589069999 7793828.08987858)
ESCOLAS_ESTADUAIS.1981880,1981880,ESCOLA ESTADUAL GENERAL CARLOS LUIZ GUEDES,Estadual,31001856,RUA,ADERBAL RODRIGUES VAZ,1120,,Lindéia,BARREIRO,POINT (599884.492906349 7791037.4379077)
ESCOLAS_ESTADUAIS.1981978,1981978,ESCOLA ESTADUAL SIRIA MARQUES DA SILVA,Estadual,31002330,RUA,INGLATERRA,410,,Jardim Leblon,VENDA NOVA,POINT (606087.388048771 7807043.35994867)
ESCOLAS_ESTADUAIS.1981905,1981905,ESCOLA ESTADUAL PROFESSOR RICARDO DE SOUZA CRUZ,Estadual,31002020,RUA,GONCALO LACO,120,,Nova Esperança,NOROESTE,POINT (608970.184689708 7798940.28930521)
ESCOLAS_ESTADUAIS.1982005,1982005,ESCOLA ESTADUAL OLIMPIA REZENDE PEREIRA,Estadual,31001279,RUA,LINDOLFO DEODORO,84,,Salgado Filho,OESTE,POINT (606834.989276021 7794890.52362327)
ESCOLAS_ESTADUAIS.1981933,1981933,ESCOLA ESTADUAL MARGARIDA DE MELLO PRADO,Estadual,31002551,RUA,JOAQUIM ABREU,50,,Monte Azul,NORTE,POINT (615980.809755986 7808315.7709531)
ESCOLAS_ESTADUAIS.1982231,1982231,ESCOLA ESTADUAL MARIA DE LOURDES DE OLIVEIRA,Estadual,31000175,RUA,JOSE ISIDORO MIRANDA,140,,Maria Goretti,NORDESTE,POINT (614178.548551593 7803351.60139542)
ESCOLAS_ESTADUAIS.1981920,1981920,ESCOLA ESTADUAL CARLOS GOES,Estadual,31000752,RUA,ERNESTO AUSTIN,420,,Boa Vista,LESTE,POINT (614892.044966835 7799686.31745334)
ESCOLAS_ESTADUAIS.1982216,1982216,ESCOLA ESTADUAL ELISEU LABORNE E VALE,Estadual,31001325,AVENIDA,PANDIA CALOGERAS,120,,Jardim Montanhês,NOROESTE,POINT (606410.418999066 7798641.88004555)
ESCOLAS_ESTADUAIS.1981721,1981721,ESCOLA ESTADUAL PROFESSOR PEDRO ALEIXO,Estadual,31001589,AVENIDA,DOS BANDEIRANTES,2300,,Mangabeiras,CENTRO-SUL,POINT (613273.913465571 7794038.7569979)
ESCOLAS_ESTADUAIS.1981916,1981916,ESCOLA ESTADUAL DIOGO DE VASCONCELOS,Estadual,31001830,RUA,PROFESSOR LUIZ POMPEU,30,,Bairro das Indústrias I,BARREIRO,POINT (603517.842786794 7793117.85444494)
ESCOLAS_ESTADUAIS.1982254,1982254,ESCOLA ESTADUAL HUGO WERNECK,Estadual,31000451,RUA,DOUTOR ZEFERINO MOTA,115,,Santa Maria,OESTE,POINT (603715.339003527 7795438.75203297)
ESCOLAS_ESTADUAIS.1981938,1981938,ESCOLA ESTADUAL PROFESSOR BOLIVAR DE FREITAS,Estadual,31002305,RUA,JOSE PINTO DE MOURA,395,,Jardim Guanabara,NORTE,POINT (611345.169255522 7807512.12453299)
ESCOLAS_ESTADUAIS.1981879,1981879,ESCOLA ESTADUAL PADRE JOAO BOTELHO,Estadual,31001619,RUA,MARIA DE LOURDES MANSO,81,,Bairro das Indústrias I,BARREIRO,POINT (604533.58237886 7792200.9710739)
ESCOLAS_ESTADUAIS.1982147,1982147,ESCOLA ESTADUAL DE EDUCACAO ESPECIAL DOUTOR JOAO MOREIRA SALLES,Estadual,31001007,RUA,SANTA CLARA DE ASSIS,159,,Minaslândia,NORTE,POINT (611750.048456298 7804254.04770509)
ESCOLAS_ESTADUAIS.1982033,1982033,ESCOLA ESTADUAL MARIETA BROCHADO,Estadual,31000477,AVENIDA,ABILIO MACHADO,2085,,Glória,NOROESTE,POINT (603859.558820263 7799551.25494492)
ESCOLAS_ESTADUAIS.1982032,1982032,ESCOLA ESTADUAL CESEC MARIA VIEIRA BARBOSA,Estadual,31002569,RUA,PADRE PEDRO PINTO,775,,Venda Nova,VENDA NOVA,POINT (609210.996326528 7808540.4152274)
ESCOLAS_ESTADUAIS.1982167,1982167,ESCOLA ESTADUAL ADALBERTO FERRAZ,Estadual,31001911,RUA,OPERARIO SILVA,50,,São Gabriel,NORDESTE,POINT (613406.028382881 7803941.83125584)
ESCOLAS_ESTADUAIS.1981984,1981984,ESCOLA ESTADUAL MENINO JESUS DE PRAGA,Estadual,31002208,RUA,JOSE SABINO MACIEL,290,,Lagoa,VENDA NOVA,POINT (604738.178267532 7809191.56268823)
ESCOLAS_ESTADUAIS.1982222,1982222,ESCOLA ESTADUAL TOMAS BRANDAO,Estadual,31001520,PRACA,SENHOR BOM JESUS,134,,Bom Jesus,NOROESTE,POINT (609384.332219473 7799614.85199993)
ESCOLAS_ESTADUAIS.1982225,1982225,ESCOLA ESTADUAL MENDES PIMENTEL,Estadual,31002585,RUA,DORESOPOLIS,325,,Fernão Dias,NORDESTE,POINT (612956.737064726 7802395.37603232)
ESCOLAS_ESTADUAIS.1981713,1981713,ESCOLA ESTADUAL DOUTOR AMARO NEVES BARRETO,Estadual,31000183,AVENIDA,XIMANGO,280,,Flávio Marques Lisboa,BARREIRO,POINT (604239.997338546 7788525.17927066)
ESCOLAS_ESTADUAIS.1982004,1982004,ESCOLA ESTADUAL PROFESSOR JOSE MESQUITA DE CARVALHO,Estadual,31000086,RUA,IRAI,260,,Coração de Jesus,CENTRO-SUL,POINT (609810.254814893 7793923.46046617)
ESCOLAS_ESTADUAIS.1982206,1982206,ESCOLA ESTADUAL SARAH KUBITSCHEK ITAMARATI,Estadual,31000647,RUA,ANITA BLUMBERG,61,,Ouro Preto,PAMPULHA,POINT (605979.771534864 7802773.70902374)
ESCOLAS_ESTADUAIS.1981824,1981824,ESCOLA ESTADUAL EFIGENIO SALLES,Estadual,31001244,RUA,SERENATA,115,,Santana do Cafezal,CENTRO-SUL,POINT (614088.63586539 7795325.09516749)
ESCOLAS_ESTADUAIS.1982258,1982258,ESCOLA ESTADUAL GUIMARAES ROSA,Estadual,31000132,RUA,AVELAR,10,,Pindorama,NOROESTE,POINT (602362.129987804 7797975.35571464)
ESCOLAS_ESTADUAIS.1982003,1982003,ESCOLA ESTADUAL CORONEL MANOEL SOARES DO COUTO,Estadual,31002534,RUA,WALFRIDO TEIXEIRA SIMOES,200,,Minascaixa,VENDA NOVA,POINT (609124.398469731 7809568.75591164)
ESCOLAS_ESTADUAIS.1981909,1981909,ESCOLA ESTADUAL MELO VIANA,Estadual,31000710,RUA,BOM SUCESSO,345,,Carlos Prates,NOROESTE,POINT (608388.836175154 7797842.27280328)
ESCOLAS_ESTADUAIS.1982018,1982018,ESCOLA ESTADUAL LAUDIEME VAZ DE MELO,Estadual,31001295,RUA,CAMILO PRATES,238,,União,NORDESTE,POINT (613224.685775124 7801154.77855234)
ESCOLAS_ESTADUAIS.1982262,1982262,ESCOLA ESTADUAL EMILIA CERDEIRA,Estadual,31246433,RUA,DAS CANOAS,461,,Estrela do Oriente,OESTE,POINT (605799.195790627 7792504.68925294)
ESCOLAS_ESTADUAIS.1982143,1982143,ESCOLA ESTADUAL BERNARDO MONTEIRO,Estadual,31002089,PRACA,DOUTOR CARLOS MARQUES,67,,Calafate,OESTE,POINT (607965.849100303 7796605.60452353)
ESCOLAS_ESTADUAIS.1982223,1982223,ESCOLA ESTADUAL SANTOS ANJOS,Estadual,31000329,RUA,CATUMBI,421,,Caiçaras,NOROESTE,POINT (608341.966796175 7798859.53574236)
ESCOLAS_ESTADUAIS.1982224,1982224,ESCOLA ESTADUAL PADRE EUSTAQUIO,Estadual,31001571,RUA,CESARIO ALVIM,927,,Padre Eustáquio,NOROESTE,POINT (607320.158262707 7797669.53796296)
ESCOLAS_ESTADUAIS.1981961,1981961,ESCOLA ESTADUAL ORDEM E PROGRESSO,Estadual,31001511,RUA,OSCAR NEGRAO DE LIMA,29,,Nova Gameleira,OESTE,POINT (605008.996531744 7795041.79283286)
ESCOLAS_ESTADUAIS.1981953,1981953,COLEGIO TIRADENTES PMMG - UNIDADE ARGENTINO MADEIRA,Estadual,31001368,PRACA,DUQUE DE CAXIAS,50,,Santa Tereza,LESTE,POINT (613304.14273076 7797488.64478324)
ESCOLAS_ESTADUAIS.1981723,1981723,ESCOLA ESTADUAL PROFESSOR CLAUDIO BRANDAO,Estadual,31000868,AVENIDA,SENADOR LEVINDO COELHO,800,,CDI Jatobá,BARREIRO,POINT (600929.793850216 7788745.43443836)
ESCOLAS_ESTADUAIS.1981888,1981888,ESCOLA ESTADUAL NOSSA SENHORA DO BELO RAMO,Estadual,31001031,RUA,SEBASTIAO DE BARROS,151,,Nova Granada,OESTE,POINT (607931.834992582 7794757.78064272)
ESCOLAS_ESTADUAIS.1982249,1982249,ESCOLA ESTADUAL NECESIO TAVARES,Estadual,31000876,RUA,FERNAO DIAS,7,,Alto Vera Cruz,LESTE,POINT (615961.060958897 7798383.9925378)
ESCOLAS_ESTADUAIS.1982114,1982114,ESCOLA ESTADUAL PROFESSOR ALBERTO MAZONI ANDRADE,Estadual,31002283,RUA,OSCAR LOBO PEREIRA,390,,Providência,NORTE,POINT (612289.656507027 7803747.3708377)
ESCOLAS_ESTADUAIS.1981959,1981959,ESCOLA ESTADUAL MARIA ANDRADE RESENDE,Estadual,31253413,RUA,REINATO FANTONI,51,,Garças,PAMPULHA,POINT (605086.342551241 7806612.32768403)
ESCOLAS_ESTADUAIS.1982234,1982234,ESCOLA ESTADUAL DO INSTITUTO AGRONOMICO,Estadual,31000655,RUA,SANTO AGOSTINHO,1535,,Horto Florestal,LESTE,POINT (613756.031489868 7799437.55808759)
ESCOLAS_ESTADUAIS.1981923,1981923,ESCOLA ESTADUAL PROFESSORA AMELIA DE CASTRO MONTEIRO,Estadual,31001660,RUA,SANTO AGOSTINHO,1381,,Horto Florestal,LESTE,POINT (613687.442557014 7799445.90638831)
ESCOLAS_ESTADUAIS.1983301,1983301,"CENTRO INTERESCOLAR DE CULTURA ARTE LINGUAGENS E TECNOLOGIAS
",Estadual,31364932,RUA,SANTO AGOSTINHO,1441,,Horto Florestal,LESTE,POINT (613723.061237217 7799429.03261082)
ESCOLAS_ESTADUAIS.1982131,1982131,ESCOLA ESTADUAL PROFESSORA MARIA AMELIA GUIMARAES,Estadual,31001821,RUA,AMARAL,32,,Pirajá,NORDESTE,POINT (613249.283128659 7802892.39486558)
ESCOLAS_ESTADUAIS.1982162,1982162,COLEGIO TIRADENTES PMMG MINASCAIXA,Estadual,31307700,RUA,JULITA NUNES LIMA,271,,Conjunto Minascaixa,VENDA NOVA,POINT (609258.030622392 7809866.80524456)
ESCOLAS_ESTADUAIS.1981969,1981969,COLEGIO TIRADENTES PMMG PRADO,Estadual,31307718,RUA,DOS PAMPAS,767,,Prado,OESTE,POINT (608362.8205364 7797083.24730072)
ESCOLAS_ESTADUAIS.1982132,1982132,ESCOLA ESTADUAL SERGIA CALDEIRA ALKIMIN,Estadual,31001121,RUA,SANTA EDWIGES,336,,São Marcos,NORDESTE,POINT (613916.561586622 7802687.80650894)
ESCOLAS_ESTADUAIS.1981804,1981804,ESCOLA ESTADUAL PROFESSORA NAIR DE OLIVEIRA SANTANA,Estadual,31001988,RUA,CARLOS SCHETTINO,735,,Jardinópolis,OESTE,POINT (604906.096640775 7794447.63377222)
ESCOLAS_ESTADUAIS.1981715,1981715,ESCOLA ESTADUAL SAGRADA FAMILIA II,Estadual,31002143,RUA,CELIA DE SOUZA,600,,Sagrada Família,LESTE,POINT (612469.036603841 7798604.93756508)
ESCOLAS_ESTADUAIS.1981709,1981709,ESCOLA ESTADUAL MARIA LUIZA MIRANDA BASTOS,Estadual,31002500,RUA,SAO JOSE DO JACURI,60,,Planalto,NORTE,POINT (609790.093725589 7806298.49156447)
ESCOLAS_ESTADUAIS.1982008,1982008,ESCOLA ESTADUAL DOUTOR JOSE DO PATROCINIO DA SILVA,Estadual,31001767,RUA,DOS CRUZEIRENSES,15,,Milionários,BARREIRO,POINT (604679.63277303 7790238.30056979)
ESCOLAS_ESTADUAIS.1981971,1981971,ESCOLA ESTADUAL PADRE JOAO DE MATTOS ALMEIDA,Estadual,31322636,RUA,DEPUTADO AUGUSTO GONCALVES,202,,Serrano,PAMPULHA,POINT (603161.539854765 7802054.61539316)
ESCOLAS_ESTADUAIS.1981897,1981897,ESCOLA ESTADUAL JUSCELINO KUBITSCHEK DE OLIVEIRA,Estadual,31002518,RUA,HERCI EUCLIDES FERREIRA,229,,Maria Helena,VENDA NOVA,POINT (605539.031157245 7810021.09383957)
ESCOLAS_ESTADUAIS.1981994,1981994,ESCOLA ESTADUAL PROFESSOR AGNELO CORREIA VIANA,Estadual,31317357,RUA,MEXICO,900,,Jardim Leblon,VENDA NOVA,POINT (605342.301804032 7807501.92660875)
